Project_ID,Project_Name,Country,City,Contractor_Name,Equipment_ID,Equipment_Type,Usage_Hours,Downtime_Hours,Maintenance_Status,Material_Type,Quantity_Used,Unit_Cost,Supplier_Name,Project_Budget,Actual_Cost,Currency,Payment_Status,Start_Date,End_Date,Actual_Completion_Date,Delay_Days
KEN-0010,Nakuru Junction Upgrade,Kenya,Nakuru,Ubora Constructions,EQ-8091,Grader,236.5,70.9,BAD,Cement,362 bags,185985.18,Savanna Aggregate,886229.37,968899.25,NGN,delayed,07/03/2023,07/26/24,2025/01/19 00:00,177
GHA-0011,Tema Container Road,Ghana,Sunyani,Sahara Build Company,EQ-9940,Excavator,98.7,66.6,BAD,Steel,373 bags,2362720.69,Cape Build Mart,38326601.99,38978132.75,ZAR,Paid,2024-04-08,2025/05/17 00:00,04-Jun-2025,18
KEN/10012,Thika Bridge Works,Kenya,Kisumu,PrimeSpan Africa,EQ-4383,Loader,22.9,39.4,NEEDS REPAIR,Limestone,6 bags,"USD 152,397.23",TerraMix Logistics,16833504.41,21745221.5,KES,Pending,04/13/23,2023/08/07 00:00,2023/10/14 00:00,68
NGA-0013,Lagos Expressway Upgrade,Nigeria,Lagos,Apex Infrastructure,EQ2358,Bulldozer,205.5,36.2,running,Steel,301 bags,17051084.45,Afri Steel Traders,38839930.5,33487506.8,GHS,Delayed,07-May-2023,2023/12/11 00:00,2024/05/06 00:00,147
NGA-0013,Bloemfontein Utilities Upgrade,South Africa,Port Elizabeth,Apex Infrastucture,EQ-9147,Loader,19.7,16.0,ok ,Gravel,153625kg,"usd 63,583.94",TERRAMIX LOGISTICS,22261990.55,27592565.51,kes,partial,2023-09-27,2024/02/09 00:00,04/13/24,64
KEN10015,Eldoret Industrial Spur,Kenya,Mombasa,PrimeSpan Africa,EQ-7643,Loader,159.0,5.0,degraded,Sand,374 bags,189114.86,Cape Build Mart,10957278.38,13631694.44,USD,partial,11/07/2023,16/09/2024,2024-09-28,12
NGA-0016,Ibadan Drainage Expansion,Nigeria,Benin City,Mara Civil Wroks,,Grader,41.1,36.0,degraded,Sand,100 bags,4588086.74,WestStone Materials,110038908.78,94733406.5,USD,paid,2026-01-10,2026-11-21,22-Oct-2026,-30
KEN-0006,Kumasi Interchange Works,Ghana,Accra,Ubora Construction,EQ-3786,Loader,3.4,8.3,needs repair,Steel,49 bags,"GHS 1,543,471.18",WestStone Material,2346218.8,2219478.92,KES,paid,11/28/25,2026/02/03 00:00,06/05/26,122
NGA/10018,kano industrial road,Nigeria,Kano,Prime Span Africa,EQ-6499,Excavator,86.8,40.9,Serviced,Gravel,95603kg,117410.0,Kilimanjaro Cement,4182979.49,3987377.61,KES,Pending,30/01/2023,05/22/23,22-Jul-2023,61
ZAF-10019,Pretoria Civic Build,South Africa,Port Elizabeth,Deltacore Buildrs,EQ-2155,Excavator,66.0,61.0,running,Limestone,390914kg,650915.82,African Steel Traders,161051069.64,174742063.01,USD,delayed,10/29/24,2025/03/02 00:00,,0
GHA-0020,Sunyani District Road,Ghana,Takoradi,PrimeSpan Africa,,Bulldozer,240+,56.8,running,Steel,217.64 tons,77638.42,TerraMix Logistics,8529371.67,6178284.75,KES,Pending,2023-10-03,06-Dec-2024,25/12/2024,19
KEN_10021,Eldoret Industrial Spur,Kenya,Mombasa,Nylestone Construction,EQ-2746,Grader,73.8,56.9,Needs Repair,Sand,208 bags,909037.79,cemex spply,25849415.77,38343213.21,KES,Paid,18-Jun-2025,2025-10-19,12/05/25,47
NGA10022,Abuja Civic Centre Works,Nigeria,Ibadan,Kentech Engineering,EQ-8244,Grader,135.4,,OK,Sand,239.76 tons,811326.01,Nile Quarries,unknown,2009526.34,KES,partial,07/31/25,10/07/26,2027/01/14 00:00,99
KEN 10023,Nairobi Ring Road Expansion,Kenya,Thika,NileStone Construction,EQ-4141,Bulldozer,2005.6,,SERVICED,Gravel,306.28 tons,1497071.03,WestStone Material,281399.23,226612.45,KES,delayed,2023-04-12,2024-05-28,07/27/24,60
KEN_10024,Thika Bridge Works,Kenya,Eldoret,Sahara Build Company,EQ-1419,Bulldozer,74.7,10.8,running,Gravel,376.34 tons,624976.48,Kilimanjaro Cement,73645308.59,73645308.59,USD,Paid,05/04/2023,13-Jan-2024,,-15
ZAF_10025,Johannesburg Transit Upgrade,South Africa,Port Elizabeth,SAHARA BUILD CO,EQ-7229,Crane,41.2,31.6,SERVICED,Gravel,344.92 tons,155451.26,Nile Quarries,164770023.35,175982792.55,USD,in dispute,2023-03-13,2023-04-19,2023-05-18,29
GHA/10026,Cape Coast Housing Scheme,Ghana,Cape Coast,Ubora Constructions,EQ3006,Crane,146.1,44.3,BAD,Steel,365.47 tons,69462.55,TerraMix Logistics,173171376.66,133327336.93,USD ,paid,2025-06-28,2025-08-25,2025-08-28,3
GHA_10027,Sunyani District Road,Ghana,Accra,Prime Span Africa,EQ-4624,Excavator,179.9,14.6,SERVICED,Limestone,223.97 tons,272346.04,Cemex Supplies,57760618.24,52834067.16,NGN,Pending,29-Oct-2024,2024-12-13,2025/05/28 00:00,166
ZAF-10028,Johannesburg Transit Upgrade,South Africa,Port Elizabeth,Mara Civil Wroks,EQ-8594,Grader,232.6,37.2,OK,Sand,153 bags,3616.58,TerraMix Logistics,11789114.61,18217483.35,NGN,Delayed,03/19/24,21-Jul-2024,2024-07-26,5
KEN-0029,Nairobi Ring Road Expansion,Kenya,Nakuru,Ubora Constructions,EQ-2059,Loader,10.0,14.7,bad,Limestone,232677kg,1253.68,Lagos Ind. Supply,2073223.63,2256565.47,NGN,PENDING,01/11/2025,12/27/25,,4
GHA-0030,Tamale Waterline Project,Ghana,Tamale,Deltacore Buildrs,EQ-2547,Excavator,-11.5,48.1,OK,Steel,375437kg,1377785.53,Afri Steel Traders,80887.89,76721.23,GHS,partial,09/18/23,2024/11/18 00:00,06/03/2025,108
GHA-10031,Takoradi Logistics Yard,Ghana,Sunyani,Deltacore Buildrs,EQ-4627,Bulldozer,120.9,11.8,ok ,Cement,187 bags,2102805.87,Lagos Ind. Supply,"ZAR 22,611,938",22099311.55,KES,Paid,08/01/2025,2025-04-05,2025-04-03,-2
KEN 10032,Eldoret Industrial Spur,Kenya,Kisumu,PrimeSpan Africa,,Bulldozer,203.5,48.6,BAD,Steel,350.08 tons,N/A,West Stone Materials,390671.11,314981.64,NGN,Paid,08-Apr-2024,04/02/2025,04/13/25,68
GHA/10033,Tamale Waterline Project,Ghana,Sunyani,Build Rite Contractors,,Excavator,201.8,,bad ,Limestone,155 bags,199404.26,Lagos Ind. Supply,11324955.96,12957687.28,GHS,Pending,05/09/24,02/05/2025,2025-06-30,59
KEN-0034,Thika Bridge Works,Kenya,Nakuru,Kubwa Engr,EQ-7843,Crane,63.0,30.0,Needs Repair,Sand,4958kg,2191205.73,Lagos Industrial Supply,,27356855.6,GHS,Paid,2024/12/10 00:00,2025/05/08 00:00,05/23/26,380
KEN-10035,Nairobi Ring Road Expansion,Kenya,Machakos,Apex Infra Ltd,EQ-5428,Grader,197.2,37.6,service due,Cement,155883kg,unknown,West Stone Materials,,30332885.95,ZAR,Pending,03/26/24,05/04/2025,,0
KEN/10036,Mombasa Port Access Road,Kenya,Machakos,DELTACORE BUILDRS,EQ-9520,Crane,224.3,71.1,Needs Repair,Gravel,182010kg,101446.26,Savanna Aggregates,19568797.17,14253097.49,ZAR,partial,2024/06/29 00:00,15-Nov-2025,01/12/2025,16
KEN-10037,Thika Bridge Works,Kenya,Kisumu,Ubora Constructions,EQ-5815,Loader,103.9,31.5,bad,Cement,371.56 tons,913983.81,AFRICAN STEELS TRADING,17830226.15,24262886.16,NGN,PENDING,12/12/23,2024/07/31 00:00,22/10/2024,83
GHA-10038,Tema Container Road,Ghana,Accra,PrimeSpan Africa,EQ-1543,Excavator,53.9,4.9,Needs Repair,Cement,88443kg,2374386.2,Cape Buildmart,12001975.89,10373660.84,kes,PARTIAL,05/06/25,2025-10-28,2025-12-22,55
ZAF_10039,Polokwane Industrial Estate,South Africa,Cape Town,ubora construction,EQ-7518,Bulldozer,87.4,7.2,ok,Limestone,282106kg,"ZAR 1,079,226.56",Afri Steel Traders,21433007.09,17005498.35,GHS,delayed,2025/03/02 00:00,2025/10/05 00:00,2025-08-27,-39
GHA-10040,Kumasi Interchange Works,Ghana,Tamale,Sahara Build Company,EQ-5368,Bulldozer,217.3,11.0, needs repair,Steel,222 bags,126967.33,African Steel Traders,22164173.8,17496756.23,KES,in dispute,04/14/24,13/04/2025,03/06/25,-38
ZAF/10041,Durban Freight Corridor,South Africa,Cape Town,Ubora Constructions,EQ-7176,Crane,107.0,30.9,running,Sand,36288kg,2210106.78,Lagos Ind. Supply,"GHS 21,060,099",27023643.73,ZAR,Paid,10/09/24,01/11/26,01/19/26,8
NGA10042,ABUJA CIVIC CENTRE WORKS,Nigeria,Lagos,Kubwa Engineering,EQ-1632,Loader,-13.1,52.1,BAD,Sand,233.78 tons,4406739.68,TerraMix Logistics,4211063.27,4026589.53,NGN,partial,27-Sep-2025,27/07/2026,2027-01-07,164
GHA 10043,Cape Coast Housing Scheme,Ghana,Tema,Kubwa Engr,EQ-9440,Grader,215.4,N/A, needs repair,Cement,71616kg,"GHS 1,522,738.37",WestStone Material,1956831.66,1765722.1,zar,Paid,06/15/23,2024-04-09,2024/09/08 00:00,152
KEN-0006,Calabar Waterfront Works,Nigeria,Ibadan,Sahara Build Company,EQ-9449,Loader,137.2,1.7,Needs Repair,Steel,122 bags,"NGN 1,206,053.05",Savanna Aggregate,23151234.01,33896419.95,KES,Delayed,2025/04/10 00:00,08/03/2026,08/02/26,147
GHA/10033,Cape Town Coastal Works,South Africa,Durban,Build Rite Contractors,EQ-6719,Bulldozer,156.1,24.0,Ok,Sand,98 bags,3146045.21,Kilimanjaro Cment,27554635.63,42487751.19,GHS,partial,2024-02-24,11/01/24,14-Apr-2025,164
KEN-0046,Mombasa Port Access Road,Kenya,Kisumu,Kubwa Engr,EQ-8029,Grader,121.9,41.2,OK,Cement,,296564.2,Cemex Supplies,22654999.64,27350592.63,ngn,Pending,2024-05-08,03/03/2025,2025-04-24,52
NGA_10047,Port Harcourt Port Link,Nigeria,Kano,Ubora Constructions,EQ-2343,Excavator,120.9,7.5,needs repair,Steel,246368kg,"16,895,780",TerraMix Logistics,25878796.83,24930074.25,GHS,partial,2025/10/06 00:00,2026/10/01 00:00,29/01/2027,120
ZAF-0048,Cape Town Coastal Works,South Africa,Polokwane,Sahara Build Company,EQ-2540,Loader,43.5,,BAD,Limestone,31859kg,"2,939,044",Kilimanjaro Cement,1731658.67,2435766.78,GHS,Delayed,2023-05-07,12/06/2023,2023/10/29 00:00,139
ZAF-0049,Port Elizabeth Harbour Road,South Africa,Pretoria,Mara Civil Works,EQ-9969,Grader,159.1,32.7,OK,Sand,173 bags,1980099.0,Kilimanjaro Cement,18936699.89,25585187.36,ZAR,partial,24-Nov-2025,30-Mar-2026,14-Aug-2026,137
NGA 10050,Ibadan Drainage Expansion,Nigeria,Calabar,Kentech Eng,EQ-2847,Grader,119.5,51.3,ok,Cement,168513kg,"NGN 6,328,061.07",Nile Quarries,23630749.43,33036756.46,KES,Delayed,04/10/2024,19/09/2025,19-Oct-2025,N/A
NGA 10051,Enugu Housing Spine,Nigeria,Lagos,Sahara Build Company,EQ-3363,Crane,206.7,299.7,ok ,Sand,181.02 tons,"NGN 11,898,465.87",Cemex Supplies,15258066.06,15916815.61,USD,Pending,2025-06-13,13-Nov-2026,12/22/26,39
NGA_10052,Kano Industrial Road,Nigeria,Jos,DeltaCore Builders,EQ-9731,Crane,63.3,48.3,service-needed,Gravel,110 bags,"13,785,472",Kilimanjaro Cement,3024901.35,3579463.37,ZAR,PARTIAL,2024-07-17,22/07/2025,12/21/25,152
GHA/10053,Takoradi Logistics Yard,Ghana,Takoradi,Kentech Engineering,EQ-2617,Loader,118.5,64.3,ok,Cement,267 bags,145260.71,African Steel Traders,904425.0,950194.94,ZAR,delayed,2024-12-10,05/16/25,12-Sep-2025,119
ZAF/10054,Bloemfontein Utilities Upgrade,South Africa,Pretoria,prime span africa,EQ-7367,Loader,6.6,45.2,BAD,Steel,117 bags,174498.01,Terramix Logistcs,35703495.68,50217417.32,kes,PENDING,2023-01-04,20-Jul-2023,2023-07-17,-3
NGA 10055,Enugu Housing Spine,Nigeria,Kano,Kubwa Engr,EQ-4955,Loader,154.6,69.4,Needs Repair,Gravel,262 bags,1229803.57,Lagos Industrial Supply,2260125.8,1698448.36,usd,paid,2024/11/26 00:00,31-Mar-2025,24/05/2025,-45
NGA-10056,Abuja Civic Centre Works,Nigeria,Lagos,Nylestone Construction,EQ-5813,Excavator,189.4,74.5,service due,Sand,255 bags,"NGN 4,514,447.27",WestStone Materials,20732823.08,19432653.26,USD,PARTIAL,16/09/2025,09/24/26,13-Jul-2027,292
NGA/10057,Lagos Expressway Upgrade,Nigeria,Ibadan,PrimeSpan Africa,EQ-9272,Loader,73.5,6.5,bad,Gravel,397.65 tons,6014962.35,WestStone Materials,48344152.65,69713961.12,USD,Paid,08/01/2023,07/18/23,25-Aug-2023,38
KEN10058,Machakos Estate Infrastructure,Kenya,Nairobi,Prime Span Africa,EQ-9857,Loader,163.5,47.1,service due,Gravel,377410kg,"KES 339,345.34",cape buildmart,27298650.91,25211691.99,KES,Delayed,2023/06/11 00:00,09/04/24,2024-11-08,65
ZAF-10059,Cape Town Coastal Works,South Africa,Pretoria,Kentech Eng,EQ-2983,Grader,161.4,70.0,Needs Repair,Steel,96 bags,53276.99,Cemex Spply,3385338.65,3884346.7,zar,Delayed,19-Mar-2025,05/08/26,2026-12-03,N/A
ZAF 10060,Durban Freight Corridor,South Africa,Polokwane,Kubwa Engr,EQ-7923,Loader,131.3,13.1,OK,Gravel,408.04 tons,146695.93,African Steel Traders,1121564.99,1121564.99,USD,delayed,23-Aug-2024,02/17/25,02/15/25,-2
ZAF-0061,Bloemfontein Utilities Upgrade,South Africa,Cape Town,BuildRight Contractors,EQ-5734,Grader,-31.7,20.3,bad ,Limestone,99.56 tons,2876042.56,Lagos Ind. Supply,2210593.7,1820620.56,ZAR,Delayed,2026/03/02 00:00,2026/08/14 00:00,,-3
GHA_10062,Kumasi Interchange Works,Ghana,Ho,Ubora Constructions,EQ9289,Crane,38.4,37.7,needs repair,Steel,59 bags,154868.62,Nile Quarries,16771405.84,21319584.13,NGN,Delayed,13-Feb-2023,20-May-2023,10/21/23,154
ZAF 10063,Port Elizabeth Harbour Road,South Africa,Pretoria,UBORA CONSTRUCTION,EQ9465,Excavator,22.4,36.3,degraded,Limestone,439204kg,N/A,Terramix Logistcs,1116385.2,1404755.13,NGN,PENDING,23/01/2026,2027/05/11 00:00,24-Sep-2027,136
KEN-0064,Eldoret Industrial Spur,Kenya,Nakuru,NYLESTONE CONSTRUCTION,EQ-8203,Crane,153.6,79.9,SERVICE DUE,Gravel,181 bags,"1,604",African Steel Traders,8809101.18,9051829.66,ZAR,PENDING,2024-07-30,02/24/25,17/07/2025,143
NGA-10065,Port Harcourt Port Link,Nigeria,Abuja,NileStone Construction,EQ-4234,Excavator,26.0,47.7, needs repair,Steel,159.14 tons,197734.93,Kilimanjaro Cment,1385243.55,1574923.14,ngn,Partial,15/06/2024,05/08/25,04/05/2025,-4
NGA/10066,Enugu Housing Spine,Nigeria,Port Harcourt,Apex Infrastucture,EQ-5418,Grader,173.8,27.6,Bad,Cement,100.7 tons,4038805.28,Cemex Spply,8636460.12,12744190.32,GHS,part-paid,10/09/25,02-Jan-2027,2027/02/02 00:00,31
KEN_10067,machakos estate infrastructure,Kenya,Thika,UBORA CONSTRUCTION,EQ-5573,Bulldozer,211.8,61.0,service due,Gravel,115.79 tons,3078640.86,Cemex Spply,26090277.76,31636465.18,ghs,paid,16-May-2024,2025/05/28 00:00,06/05/2025,-22
KEN/10068,Mombasa Port Access Road,Kenya,Nairobi,Kubwa Engineering,EQ-8828,Excavator,87.5,29.7,service due,Cement,187.02 tons,"KES 1,081,292.43",Savanna Aggregate,20287468.98,23521574.88,NGN,delayed,01-Apr-2023,21-Feb-2024,17-Mar-2024,25
NGA10069,Jos Regional Access Road,Nigeria,Lagos,Ubora Construction,EQ-5496,Crane,107.4,25.6,bad,Limestone,303.58 tons,192249.5,WestStone Materials,34727009.63,80935165.86,ZAR,Pending,04/10/25,2026/01/16 00:00,21-May-2026,125
ZAF/10070,Port Elizabeth Harbour Road,South Africa,Johannesburg,APEX INFRASTUCTURE,EQ-7877,Grader,87.1,54.3,running,Limestone,125 bags,"USD 5,145.08",Savanna Aggregate,195561435.74,203571181.33,USD,paid,2026-01-19,2027-02-15,15/01/2027,-31
GHA 10071,ho market redevelopment,Ghana,Ho,Kentech Engineering,EQ-2722,Crane,161.2,34.1,degraded,Cement,392.79 tons,1021157.08,Afri Steel Traders,"GHS 28,996,251",31177092.18,zar,PARTIAL,01/10/26,14-May-2026,2026/08/10 00:00,88
GHA/10072,Sunyani District Road,Ghana,Takoradi,Kentech Eng,EQ-7612,Loader,163.3,66.3,Needs Repair,Gravel,104.74 tons,110233.52,Savanna Aggregates,34949417.14,29186786.35,KES,paid,2025-11-01,04/04/2027,03/01/27,-34
ZAF-10073,Johannesburg Transit Upgrade,South Africa,Durban,Apex Infra Ltd,EQ-3194,Loader,70.4,75.0,BAD,Limestone,78.69 tons,49685.93,Nile Quarrys,227587.42,263770.33,usd,on hold,2023/01/01 00:00,2024/04/28 00:00,2024-05-14,16
KEN/10074,Eldoret Industrial Spur,Kenya,Mombasa,PrimeSpan Africa,EQ-8024,Crane,31.1,64.7,SERVICED,Limestone,238.5 tons,106754.08,Savanna Aggregate,25477118.76,25160519.25,USD,PARTIAL,01-Apr-2024,05/28/25,10/06/2025,13
ZAF_10075,Johannesburg Transit Upgrade,South Africa,Polokwane,Nylestone Construction,EQ-8270,Crane,54.6,3.6,SERVICED,Limestone,371814kg,"zar 600,318.25",West Stone Materials,17763083.88,24352384.04,USD,Paid,27/08/2025,2026/04/23 00:00,17/03/2026,-37
KEN10076,Thika Bridge Works,Kenya,Kisumu,Deltacore Buildrs,EQ-7444,Bulldozer,90.4,8.1,running,Sand,167.68 tons,"84,791",African Steels Trading,140947113.81,171745650.6,NGN,partial,2024-02-21,06/25/24,06/15/24,-10
ZAF-10077,Bloemfontein Utilities Upgrade,South Africa,Johannesburg,Ubora Constructions,EQ-4077,Crane,-32.3,29.1,ok,Cement,282 bags,277683.69,Nile Quarries,5034899.43,5034899.43,ZAR,PARTIAL,27-May-2024,25-Oct-2025,12/09/25,45
KEN_10078,Nairobi Ring Road Expansion,Kenya,Nairobi,Ubora Construction,EQ-1896,Excavator,165.2,41.7,Needs Repair,Gravel,351796kg,99991.8,Nile Quarries,54298590.91,80153957.22,NGN,delayed,2024-07-25,17-Aug-2024,2025/01/22 00:00,two
GHA-0079,Tamale Waterline Project,Ghana,Tema,Build Rite Contractors,EQ-6779,Bulldozer,212.5,66.8,Needs Repair,Cement,441 bags,"usd 3,798.99",Kilimanjaro Cment,129773777.01,205237658.53,KES,PARTIAL,06/28/24,18/05/2025,10/15/25,150
NGA/10080,Calabar Waterfront Works,Nigeria,Ibadan,DeltaCore Builders,EQ-3854,Bulldozer,119.7,35.2,BAD,Limestone,265 bags,14416726.25,WestStone Material,1365137.35,2004761.7,USD,Delayed,21/03/2026,2026-10-19,28/10/2026,9
NGA-0081,Calabar Waterfront Works,Nigeria,Lagos,Kentech Engineering,EQ-2460,Excavator,111.9,30.8,Needs Repair,Limestone,405409kg,4262286.06,Cemex Supplies,1654288.89,2246792.21, NGN,part-paid,08/11/24,18-Jan-2025,2025-05-02,104
ZAF/10082,Cape Town Coastal Works,South Africa,Bloemfontein,Sahara Build Company,EQ-1907,Crane,187.6,7.1,BAD,Gravel,437731kg,2456184.87,Lagos Industrial Supply,6196309.02,7433446.08,NGN,Paid,05/09/25,08/12/25,09-Dec-2025,-10
KEN_10083,Kisumu Waterfront Rehab,Kenya,Thika,KUBWA ENGR,EQ-5509,Bulldozer,213.5,69.8,SERVICED,Steel,18 bags,"USD 84,778.77",WestStone Materials,1580142.45,1756267.38,KES,,2023-01-10,2023-07-31,,-3
NGA_10084,Lagos Expressway Upgrade,Nigeria,Port Harcourt,Deltacore Buildrs,EQ-3850,Loader,18.1,0,bad,Limestone,43 bags,"NGN 13,244,395.25",Afri Steel Traders,"USD 232,957",289550.23,KES,delayed,04/05/2025,31/08/2026,13-Feb-2027,166
ZAF_10001,Abuja Civic Centre Works,Nigeria,Lagos,NileStone Construction,EQ-9595,Grader,86.2,51.3,needs repair,Steel,198.53 tons,123123.9,Savanna Aggregates,29138478.68,29741975.89,GHS,delayed,2023/03/31 00:00,20-Jun-2024,,12
NGA-10086,Ibadan Drainage Expansion,Nigeria,Benin City,Kubwa Engineering,EQ-9110,Grader,82.0,33.8,degraded,Sand,392.26 tons,241861.27,Savanna Aggregate,27707511.69,37198993.65,NGN,Pending,07-Mar-2024,13/11/2024,26/02/2025,105
GHA/10087,Tamale Waterline Project,Ghana,Accra,Deltacore Buildrs,EQ-5864,Bulldozer,98.3,192.3,OK,Gravel,252403kg,1899235.99,Cemex Supply,19241002.46,23086229.09,ZAR,PENDING,03/21/26,2026/09/01 00:00,07/31/26,-32
ZAF10088,Bloemfontein Utilities Upgrade,South Africa,Pretoria,Apex Infra Ltd,EQ-6870,Crane,85.1,58.0,running,Sand,268964kg,1200957.72,Cemex Supplies,491634.6,541079.48,GHS,PARTIAL,13-Feb-2023,15-Dec-2023,22/03/2024,98
GHA-0089,Tamale Waterline Project,Ghana,Accra,Ubora Constructions,EQ2910,Excavator,65.4,33.7,degraded,Cement,262 bags,2337474.94,Kilimanjaro Cment,71011157.16,86316471.37,KES,paid,2025/04/26 00:00,09/05/2026,,12
KEN_10090,Kisumu Waterfront Rehab,Kenya,Nairobi,Apex Infra Ltd,EQ-9729,Loader,80.6,53.5,degraded,Cement,166 bags,3397117.32,WestStone Materials,"NGN 177,462,009",158683292.19,KES,PENDING,2023-02-13,2023-03-10,08/25/23,168
ZAF-0091,Cape Town Coastal Works,South Africa,Polokwane,Sahara Build Company,EQ-6781,Grader,211.9,46.8,Needs Repair,Steel,446868kg,2520565.05,Afri Steel Traders,22688055.59,16648102.43,ZAR,Pending,06-Dec-2025,17-May-2027,06/11/2027,173
KEN-10092,Mombasa Port Access Road,Kenya,Nakuru,Sahara Build Co,EQ-7201,Grader,112.7,593.4,OK,Limestone,40378kg,140515.05,Lagos Industrial Supply,2072126.96,2517774.82,ZAR,Delayed,2026-04-03,06/08/27,2027/06/03 00:00,-5
NGA 10093,Enugu Housing Spine,Nigeria,Benin City,Kubwa Engr,EQ-1803,Bulldozer,33.0,41.3,ok,Gravel,359743kg,6917604.6,Kilimanjaro Cment,1805499.1,2432787.66,zar,PENDING,2026/01/27 00:00,04/09/26,08/15/26,128
KEN-10094,Nairobi Ring Road Expansion,Kenya,Machakos,Build Rite Contrctors,EQ-1227,Crane,61.7,N/A,service due,Cement,77.59 tons,188856.5,Savanna Aggregates,1945317.44,2980014.25,usd,PARTIAL,03/17/24,07/24/24,03/09/2024,41
ZAF-10095,Polokwane Industrial Estate,South Africa,Cape Town,DeltaCore Builders,EQ-8398,Bulldozer,42.3,37.6,running,Gravel,419 bags,"ZAR 374,014.02",WestStone Material,1026432.37,1408528.4,GHS ,paid,12/24/25,12-Jun-2026,11/18/26,159
KEN/10096,Nakuru Junction Upgrade,Kenya,Nairobi,Nylestone Construction,EQ-3328,Loader,4.5,19.7,BAD,Steel,47 bags,2528523.33,African Steel Traders,6648500.45,6095501.34,ghs,Paid,13/11/2024,2025-09-11,2025-11-21,71
ZAF 10097,Bloemfontein Utilities Upgrade,South Africa,Port Elizabeth,Apex Infrastructure,EQ-1075,Grader,139.3,50.3,ok,Sand,119 bags,1695429.76,nile quarries,"NGN 81,318,693",80595320.91,kes,on hold,01-Dec-2024,2026/02/18 00:00,09-Jul-2026,141
NGA 10098,Lagos Expressway Upgrade,Nigeria,Port Harcourt,Apex Infra Ltd,EQ-5810,Loader,55.3,65.9,bad,Gravel,37574kg,9582.53,TERRAMIX LOGISTICS,1354106.82,2016318.14,KES,delayed,2025/04/05 00:00,15/09/2026,2026-12-01,77
NGA/10080,Thika Bridge Works,Kenya,Kisumu,Apex Infra Ltd,EQ-5218,Bulldozer,227.7,63.5,Needs Repair,Limestone,330232kg,69459.3,Nile Quarries,13018570.01,10068653.99,NGN,delayed,15/11/2025,2026/02/02 00:00,14-May-2026,101
ZAF_10100,Durban Freight Corridor,South Africa,Polokwane,Kubwa Engr,,Crane,82.7,0,bad,Cement,3.24 tons,2021810.89,Nile Quarrys,20043459.66,30168037.59,ZAR,Delayed,03/20/24,10/14/24,09/02/25,323
